Name,Address,City,Zip,Phone,Website,Category,Industry,Employees,Founded Year,Stock Ticker,CEO,Description
"Amplify Snack Brands","500 W. Fifth St. #1350","Austin","78701","512-600-9893","amplifysnackbrands.com","Public Company","Food & Beverage","0","","(NYSE: BETR)","Thomas  Ennis,  President/CEO","Better-for-you (BFY) snack food company with two main brands: SkinnyPop and Paqui"
"Luminex Corp.","12212 Technology Blvd.","Austin","78727","512-219-8020","luminexcorp.com","Public Company","Other","475","1995","(Nasdaq: LMNX)","Nachum “Homi”  Shamir,  President/CEO","Develops, manufactures and markets proprietary biological testing technologies, with applications throughout the life-sciences industry"
"USA Compression Partners LLC","100 Congress Ave.","Austin","78701","512-473-2662","usacompression.com","Public Company","Energy","26","1998","(NYSE: USAC)","Eric  Long,  President/CEO","Independent providers of compression services for natural gas in shale plays"
"Citizens Inc.","400 E. Anderson Lane","Austin","78752","512-837-7100","citizensinc.com","Public Company","Financial Services","134","1969","(NYSE: CIA)","Geoffrey  Kolander,  CEO","Life insurance holding company"
"Bazaarvoice Inc.","10901 Stonelake Blvd.","Austin","78759","512-551-6000","bazaarvoice.com","Public Company","Retail","555","2005","(Nasdaq: BV)","Gene  Austin,  CEO","Powers an online network connecting brands and retailers to shoppers; includes online product ratings, reviews and analytics that drive brand awareness, consideration, sales and loyalty"
"Forestar Group Inc.","6300 Bee Caves Rd.","Austin","78746","512-433-5200","forestargroup.com","Public Company","Real Estate","0","2006","(NYSE: FOR)","Phillip  Weber,  CEO","Real estate and oil & gas company"
"Q2 Holdings Inc.","13785 Research Blvd.","Austin","78750","512-275-0072","q2ebanking.com","Public Company","Financial Services","758","2004","(NYSE: QTWO)","Matt  Flake,  President/CEO","Holding company, which through its subsidiaries provides secure, cloud-based digital banking solutions for community-focused financial institutions"
"Jones Energy Inc.","807 Las Cimas Pkwy.","Austin","78746","512-328-2953","jonesenergy.com","Public Company","Energy","52","1988","(NYSE: JONE)","Jonny  Jones,  CEO","Independent oil and gas company engaged in the development, production and acquisition of oil and natural gas properties in the Anadarko and Arkoma basins of Texas and, Oklahoma."
"Xplore Technologies Corp.","14000 Summit Dr. #900","Austin","78728","512-336-7797","xploretech.com","Public Company","Other","0","1996","(Nasdaq: XPLR)","Mark  Holleran,  President/COO","Rugged, mobile computers"
"Digital Turbine Inc.","1300 Guadalupe St.","Austin","78701","512-387-7717","digitalturbine.com","Public Company","Technology","27","1998","(Nasdaq: APPS)","Bill  Stone III,  CEO","Mobile software and advertising company that partners with wireless carriers and advertisers, to deliver the right app to the right person at the right time"
"Stratus Properties Inc.","212 Lavaca St.","Austin","78701","512-478-5788","stratusproperties.com","Public Company","Real Estate","40","1992","(Nasdaq: STRS)","William  Armstrong,  President/CEO","Diversified real estate company engaged primarily in the development, management, operation and/or sale of commercial, hotel, entertainment, and multi- and single-family residential real estate properties in Texas"
"Upland Software Inc.","401 Congress Ave. #1850","Austin","78701","512-960-1010","uplandsoftware.com","Public Company","Technology","0","2010","(Nasdaq: UPLD)","Jack  McDonald,  CEO","Provider of cloud-based enterprise work management software"
"Asure Software Inc.","110 Wild Basin Rd. #100","Austin","78746","888-323-8835","asuresoftware.com","Public Company","Technology","50","1985","(Nasdaq: ASUR)","Patrick  Goepel,  CEO","Provider of cloud-based software-as-a-service (“SaaS”) for workforce management and space utilization"
"Aeglea BioTherapeutics Holdings LLC","Ppac Expy.","Austin","78746","512-942-2935","aegleabio.com","Public Company","Other","37","","(Nasdaq: AGLE)","David  Lowe,  President/CEO","Develops enzymes that target metabolic diseases, including cancerous tumors. Four drug candidates that degrade specific amino acids in the circulation are in development."
"FieldPoint Petroleum Corp.","609 Castle Ridge Rd. #335","Austin","78746","512-579-3560","fppcorp.com","Public Company","Energy","3","1989","(AMEX: FPP)","Phillip  Roberson,  President/CFO","Oil and gas exploration, production and acquisition."
"Astrotech Corp.","401 Congress Ave. # 1650","Austin","78701","512-485-9530","astrotechcorp.com","Public Company","Technology","14","1984","(Nasdaq: ASTC)","Thomas   Pickens III,  CEO","Advanced government technology commercialization"
"Vermillion Inc.","12117 Bee Caves Rd.","Austin","78738","512-519-0400","vermillion.com","Public Company","Healthcare","11","1993","(Nasdaq: VRML)","Valerie  Palmieri,  President/CEO","Discovery, development and commercialization of medical tests to diagnose, treat patients with gynecologic cancers and related diseases"
"Ideal Power Inc.","4120 Freidrich Ln.","Austin","78744","512-264-1542","idealpower.com","Public Company","Technology","25","2017","(Nasdaq: IPWR)","Daniel  Brdar,  President/CEO","Patented power conversion technology for energy storage, renewables integration and microgrids"
"Crossroads Systems Inc.","11000 N. MoPac Expwy.","Austin","78759","512-349-0300","crossroads.com","Public Company","Technology","5","1995","(Nasdaq: CRDS)","Richard 'Rick'  Coleman Jr.,  President/CEO","Software to help storage, management, protection, archiving and retrieval of digital data"
"Savara Pharmaceuticals","900 S. Capital of Texas Hwy.","Austin","78746","512-961-1891","savarapharma.com","Public Company","Other","15","2008","(Nasdaq: SVRA)","Rob  Neville,  CEO","Clinical-stage pharmaceutical company developing therapies for the treatment of serious or life-threatening rare respiratory diseases"
"Victory Energy","3355 Bee Cave Rd. #608","Austin","78746","512-347-7300","vyey.com","Public Company","Energy","4","1982","(OTCQB: VYEY)","Kenneth  Hill,  Kenneth  Hill,  CEO","Oil and gas exploration and production company with resources located in Midland, Tx. focused on  low-risk vertical well development"
"Superconductor Technologies Inc. (STI)","9101 Wall St.","Austin","78754","512-334-8900","suptech.com","Public Company","Other","25","1987","(Nasdaq:SCON)","Jeffery  Quiram,  President/CEO","Develop and manufacture high temperature superconductor (“HTS”) materials and related, technologies"
"XBiotech Inc.","8201 E. Riverside","Austin","78744","512-386-2900","xbiotech.com","Public Company","Other","0","2005","(Nasdaq: XBIT)","John  Simard,  President/CEO","Develops therapeutic antibodies for cancer, type II diabetes, acne, psoriasis and Ebola"
"Pain Therapeutics Inc.","7801 N. Capital of Tx. Hwy.","Austin","78731","512-501-2444","paintrials.com","Public Company","Other","9","1998","(Nasdaq: PTIE)","Remi  Barbier,  President/CEO","Biopharmaceutical company that develops novel drugs"
"Mirna Therapeutics Inc.","2150 Woodward St.","Austin","78744","512-901-0900","mirnarx.com","Public Company","Other","9","2007","(Nasdaq: MIRN)","Paul  Lammers,  President/CEO","Clinical stage biopharmaceutical company developing microRNA based oncology therapeutics. In September 2016, Mirna halted the phase 1 trial due to immune-related adverse events and theFDA put MRX34 of full clinical hold."
