name,subtitle,zip_url,socrata_url,landing_url,LIVES,country,state,county,city,district,descript,requires scrape,not online
Baltimore,,,,http://health.baltimorecity.gov/environmental-health/food-facilities,,US,MD,,,,,,
Iowa,,,,https://food.iowa.gov/foodsafety/Inspection/PublicInspectionSearch.aspx,,US,IA,,,,,Y,
Sacramento,,,,https://emdinspections.saccounty.net/food.aspx,,US,CA,,,,,Y,
Santa Clara County,,,,https://services.sccgov.org/facilityinspection,,US,CA,,,,,Y,
Minneapolis,,,,,,US,MN,,,,,,Y
Philadelphia,,,,,,US,PA,,,,,,Y
Boston,,,https://data.cityofboston.gov/Health/Food-Establishment-Inspections/qndu-wx8w,http://www.cityofboston.gov/isd/health/foodcourt.asp,,US,MA,,,,,,
Las Vegas,,https://www.southernnevadahealthdistrict.org/restaurants/download/restaurants.zip,,,,US,NV,,,South Nevada,,,
"Cambridge, MA",Sanitary Inspections,,https://data.cambridgema.gov/Inspectional-Services/Sanitary-Violations-105-CMR-590-000-/mh73-gjid,,,US,MA,,Cambridge,,,,
New York,Food Service Establishment: Last Inspection,,https://health.data.ny.gov/Health/Food-Service-Establishment-Last-Inspection/cnih-y5dw,,,US,NY,,,,,,
New York,Food Service Establishment Inspections: Beginning 2005 (ACTIVE),,https://health.data.ny.gov/Health/Food-Service-Establishment-Inspections-Beginning-2/2hcc-shji,,,US,NY,,,,,,
New York,Food Service Establishment Inspections: Beginning 2005 (INACTIVE),,https://health.data.ny.gov/Health/Food-Service-Establishment-Inspections-Beginning-2/aaxz-j6pj,,,US,NY,,,,,,
"Suffolk, NY",,,,http://apps.suffolkcountyny.gov/health/Restaurant/intro.html,,US,NY,,,,,,Y
Austin TX,Restaurant Inspection Scores,,https://data.austintexas.gov/dataset/Restaurant-Inspection-Scores/ecmv-9xxi,,,US,TX,,Austin,,,,
Sonoma County CA,Food Facility Inspections,,https://data.sonomacounty.ca.gov/Health/Food-Facility-Inspections/8r44-w5qd,,,US,CA,Sonoma,,,,,
Montogomery County MD,,,https://data.montgomerycountymd.gov/Health-and-Human-Services/Food-Inspection/5pue-gfbe,,,US,MD,Montgomery,,,,,
Hawaii ,OAHU Food Establishments,,https://data.hawaii.gov/Health/OAHU-Food-Establishments/qkvm-skze,,,US,HI,,,,,,
"Fulton County, GA",,,https://brigades.opendatanetwork.com/HEALTH/Fulton-County-Food-Service-Inspection-Scores-2014-/jzeg-w743,http://ga.state.gegov.com/georgia/search.cfm?county=Fulton,,,GA,Fulton,,,,,
"San Mateo County, CA",,,https://data.smcgov.org/Health-Human-Services/Restaurant-Health-Inspections/pjzf-pe8z,,,US,CA,San Mateo,,,,,
"Alameda, CA",,,https://data.acgov.org/Health/Alameda-County-Restaurants-Inspections/3d5b-2rnz,,,US,CA,Alameda,,,,,
St. Louis,,,,https://www.stlouis-mo.gov/government/departments/health/environmental-health/food-control/restaurant-ratings-search.cfm,,US,MO,,St. Louis,,,,Y
Multnomah County Oregon,,,,https://aca.accela.com/multco/,,,,,,,,Y,
