Name,Address,City,Zip,Phone,Email,Website,Category,Industry,Rating,Reviews,Source
"Cabernet Grill Texas Wine Country Restaurant","","Austin","","(830) 990-5734","greatfood@cottonginlodging.com","http://www.opentable.com/cabernet-grill-texas-wine-country-restaurant?scpref=110","Restaurant","Food & Beverage","4.6","10","OpenTable (GitHub)"
"Cafe Josie","","Austin","","(512) 322-9226","","http://www.opentable.com/cafe-josie?scpref=110","Restaurant","Food & Beverage","4.4","4","OpenTable (GitHub)"
"Cafe Malta","","Austin","","(512) 853-9584","reservations@cafemaltaaustin.com","http://www.opentable.com/cafe-malta?scpref=110","Restaurant","Food & Beverage","4.2","5","OpenTable (GitHub)"
"Cantina Laredo - Austin","","Austin","","(512) 542-9670","austin@cantinalaredo.com","http://www.opentable.com/cantina-laredo-austin?scpref=110","Restaurant","Food & Beverage","4","0","OpenTable (GitHub)"
"Carillon Restaurant","","Austin","","(512) 404-3655","thecarillon@attconf.utexas.edu","http://www.opentable.com/carillon-restaurant?scpref=110","Restaurant","Food & Beverage","4.6","7","OpenTable (GitHub)"
"Carmelo's Ristorante Italiano - Austin","","Austin","","(512) 477-7497","carmelos@carmelosrestaurant.com","http://www.opentable.com/carmelos-ristorante-italiano-austin?scpref=110","Restaurant","Food & Beverage","4.3","10","OpenTable (GitHub)"
"Chez Zee","","Austin","","(512) 454-2666","talktous@chezzee.com","http://www.opentable.com/chez-zee?scpref=110","Restaurant","Food & Beverage","4.3","10","OpenTable (GitHub)"
"Cipollina","","Austin","","(512) 477-5211","cipollina@cipollina-austin.com","http://www.opentable.com/cipollina?scpref=110","Restaurant","Food & Beverage","4.2","10","OpenTable (GitHub)"
"Clay Pit","","Austin","","(512) 322-5131","austin@claypit.com","http://www.opentable.com/clay-pit?scpref=110","Restaurant","Food & Beverage","4.4","10","OpenTable (GitHub)"
"Congress","","Austin","","(512) 827-2760","congress@congressaustin.com","http://www.opentable.com/congress?scpref=110","Restaurant","Food & Beverage","4.6","6","OpenTable (GitHub)"
"Cool River Cafe - Austin","","Austin","","(512) 835-0010","austinevents@coolrivercafe.com","http://www.opentable.com/cool-river-cafe-austin?scpref=110","Restaurant","Food & Beverage","4.3","8","OpenTable (GitHub)"
"Cypress Grill","","Austin","","(512) 358-7474","john@cypressgrill.net","http://www.opentable.com/cypress-grill?scpref=110","Restaurant","Food & Beverage","4.4","6","OpenTable (GitHub)"
"Daily Grill - Austin","","Austin","","(512) 836-4200","austindg@thegrill.com","http://www.opentable.com/daily-grill-austin?scpref=110","Restaurant","Food & Beverage","4.1","5","OpenTable (GitHub)"
"Driskill Grill - Driskill Hotel","","Austin","","(512) 391-7162","","http://www.opentable.com/driskill-grill-driskill-hotel?scpref=110","Restaurant","Food & Beverage","4.5","9","OpenTable (GitHub)"
"Eddie V's - 5th Street","","Austin","","(512) 472-1860","","http://www.opentable.com/eddie-vs-5th-street?scpref=110","Restaurant","Food & Beverage","4.5","10","OpenTable (GitHub)"
"Eddie V's - Arboretum","","Austin","","(512) 342-2642","","http://www.opentable.com/eddie-vs-arboretum?scpref=110","Restaurant","Food & Beverage","4.6","10","OpenTable (GitHub)"
"El Alma Cafe y Cantina","","Austin","","(512) 609-8923","info@elalmacafe.com","http://www.opentable.com/el-alma-cafe-y-cantina?scpref=110","Restaurant","Food & Beverage","4.1","1","OpenTable (GitHub)"
"El Chile Cafe y Cantina","","Austin","","(512) 457-9900","info@elchilecafe.com","http://www.opentable.com/el-chile-cafe-y-cantina?scpref=110","Restaurant","Food & Beverage","4.1","2","OpenTable (GitHub)"
"El Naranjo","","Austin","","(512) 474-2776","inquiries@elnaranjo-restaurant.com","http://www.opentable.com/el-naranjo?scpref=110","Restaurant","Food & Beverage","4.3","10","OpenTable (GitHub)"
"eleven plates & wine","","Austin","","(512) 328-0110","reservations@elevenplates.com","http://www.opentable.com/eleven-plates-and-wine?scpref=110","Restaurant","Food & Beverage","3.8","5","OpenTable (GitHub)"
"Estancia Churrascaria - Arboretum","","Austin","","(512) 345-5600","info@estanciachurrascaria.com","http://www.opentable.com/estancia-churrascaria-arboretum?scpref=110","Restaurant","Food & Beverage","4.3","10","OpenTable (GitHub)"
"finn & porter","","Austin","","(512) 493-4900","jennifer.l.gomez@hilton.com","http://www.opentable.com/finn-and-porter-austin?scpref=110","Restaurant","Food & Beverage","3.8","6","OpenTable (GitHub)"
"FINO Restaurant Patio & Bar","","Austin","","(512) 474-2905","","http://www.opentable.com/fino-restaurant-patio-and-bar?scpref=110","Restaurant","Food & Beverage","4.2","10","OpenTable (GitHub)"
"Fleming's Prime Steakhouse & Wine Bar - Austin","","Austin","","(512) 457-1500","austin@flemingssteakhouse.com","http://www.opentable.com/flemings-prime-steakhouse-and-wine-bar-austin?scpref=110","Restaurant","Food & Beverage","4.3","2","OpenTable (GitHub)"
"Fleming's Prime Steakhouse & Wine Bar - Austin The Domain","","Austin","","(512) 835-9463","thedomain@flemingssteakhouse.com","http://www.opentable.com/flemings-prime-steakhouse-and-wine-bar-austin-the-domain?scpref=110","Restaurant","Food & Beverage","4.5","5","OpenTable (GitHub)"
"Fogo de Chao Brazilian Steakhouse - Austin","","Austin","","(512) 472-0220","austin@fogodechao.com","http://www.opentable.com/fogo-de-chao-brazilian-steakhouse-austin?scpref=110","Restaurant","Food & Beverage","4.5","7","OpenTable (GitHub)"
"Fore","","Austin","","(512) 263-3673","lakewayfore@gmail.com","http://www.opentable.com/fore?scpref=110","Restaurant","Food & Beverage","4.1","4","OpenTable (GitHub)"
"Gumbo's Steak and Seafood - Bee Cave","","Austin","","(512) 263-2711","britt@gumbosbeecave.com","http://www.opentable.com/gumbos-steak-and-seafood-bee-cave?scpref=110","Restaurant","Food & Beverage","3.8","3","OpenTable (GitHub)"
"Haddingtons","","Austin","","(512) 992-0204","info@haddingtonsaustin.com","http://www.opentable.com/haddingtons?scpref=110","Restaurant","Food & Beverage","4.3","0","OpenTable (GitHub)"
"Hemingway Restaurant and Bar","","Austin","","(512) 219-6400","","http://www.opentable.com/hemingway-restaurant-and-bar?scpref=110","Restaurant","Food & Beverage","3.7","2","OpenTable (GitHub)"
"HomeField Grill","","Austin","","(512) 388-4663","referee@homefieldgrill.com","http://www.opentable.com/homefield-grill?scpref=110","Restaurant","Food & Beverage","4","1","OpenTable (GitHub)"
"Hudson's On The Bend","","Austin","","(512) 266-1369","","http://www.opentable.com/hudsons-on-the-bend?scpref=110","Restaurant","Food & Beverage","4.6","9","OpenTable (GitHub)"
"Hugo's Restaurant and Tequila Bar","","Austin","","(512) 474-4846","info@hugosaustin.com","http://www.opentable.com/hugos-restaurant-and-tequila-bar?scpref=110","Restaurant","Food & Beverage","3.5","4","OpenTable (GitHub)"
"Hyde Park Bar & Grill - Duval","","Austin","","(512) 458-3168","ghydeparkbar@austin.rr.com","http://www.opentable.com/hyde-park-bar-and-grill-duval?scpref=110","Restaurant","Food & Beverage","4","2","OpenTable (GitHub)"
"III Forks Austin","","Austin","","(512) 474-1776","austin@iiiforks.com","http://www.opentable.com/iii-forks-austin?scpref=110","Restaurant","Food & Beverage","4.5","10","OpenTable (GitHub)"
"Imperia","","Austin","","(512) 472-6770","reservations@imperia-austin.com","http://www.opentable.com/imperia?scpref=110","Restaurant","Food & Beverage","4","5","OpenTable (GitHub)"
"Jasper's - Austin","","Austin","","(512) 834-4111","jon-michaelr@jaspers-restaurant.com","http://www.opentable.com/jaspers-austin?scpref=110","Restaurant","Food & Beverage","4.2","10","OpenTable (GitHub)"
"Judges' Hill Restaurant","","Austin","","(512) 495-1857","restaurant@judgeshill.com","http://www.opentable.com/judges-hill-restaurant?scpref=110","Restaurant","Food & Beverage","4.3","5","OpenTable (GitHub)"
"Kona Grill - Austin","","Austin","","(512) 835-5900","austin@konagrill.com","http://www.opentable.com/kona-grill-austin?scpref=110","Restaurant","Food & Beverage","4.2","4","OpenTable (GitHub)"
"La Condesa","","Austin","","(512) 499-0300","pdr@lacondesaaustin.com","http://www.opentable.com/la-condesa?scpref=110","Restaurant","Food & Beverage","4.1","10","OpenTable (GitHub)"
"Lambert's Downtown BBQ","","Austin","","(512) 494-1500","","http://www.opentable.com/lamberts-downtown-bbq?scpref=110","Restaurant","Food & Beverage","4.1","6","OpenTable (GitHub)"
"Las Palomas Restaurant-Bar","","Austin","","(512) 327-9889","info@laspalomasrestaurant.com","http://www.opentable.com/las-palomas-restaurant-bar?scpref=110","Restaurant","Food & Beverage","4.2","2","OpenTable (GitHub)"
"Maggiano's - Austin","","Austin","","(512) 501-7870","","http://www.opentable.com/maggianos-austin?scpref=110","Restaurant","Food & Beverage","4.3","10","OpenTable (GitHub)"
"Main Street Grill","","Austin","","(512) 244-7525","mainstreetgrillrr118@yahoo.com","http://www.opentable.com/main-street-grill?scpref=110","Restaurant","Food & Beverage","4.5","6","OpenTable (GitHub)"
"Manuel's Downtown","","Austin","","(512) 472-7555","manuels1@manuels.com","http://www.opentable.com/manuels-downtown?scpref=110","Restaurant","Food & Beverage","4.1","3","OpenTable (GitHub)"
"Manuel's Great Hills","","Austin","","(512) 345-1042","manuels2@manuels.com","http://www.opentable.com/manuels-great-hills?scpref=110","Restaurant","Food & Beverage","4.4","3","OpenTable (GitHub)"
"Max's Wine Dive - Austin","","Austin","","(512) 904-0111","info@lascoenterprises.com","http://www.opentable.com/maxs-wine-dive-austin?scpref=110","Restaurant","Food & Beverage","4.1","10","OpenTable (GitHub)"
"McCormick & Schmick's Seafood - Austin (Century Oaks)","","Austin","","(512) 836-0500","msad@ldry.com","http://www.opentable.com/mccormick-and-schmicks-seafood-austin-century-oaks?scpref=110","Restaurant","Food & Beverage","3.9","10","OpenTable (GitHub)"
"The Melting Pot - Austin - Northwest","","Austin","","(512) 401-2424","info@austinmeltingpot.com","http://www.opentable.com/the-melting-pot-austin-northwest?scpref=110","Restaurant","Food & Beverage","4.4","10","OpenTable (GitHub)"
"NoRTH - Austin","","Austin","","(512) 339-4400","northaustin@foxrc.net","http://www.opentable.com/north-austin?scpref=110","Restaurant","Food & Beverage","4.1","4","OpenTable (GitHub)"
"Olive and June","","Austin","","(512) 467-9898","info@oliveandjune-austin.com","http://www.opentable.com/olive-and-june?scpref=110","Restaurant","Food & Beverage","4.3","9","OpenTable (GitHub)"
"Olivia","","Austin","","(512) 804-2700","eat@olivia-austin.com","http://www.opentable.com/olivia-austin?scpref=110","Restaurant","Food & Beverage","4.5","9","OpenTable (GitHub)"
"Paggi House","","Austin","","(512) 473-3700","events@paggihouse.com","http://www.opentable.com/paggi-house?scpref=110","Restaurant","Food & Beverage","4.1","10","OpenTable (GitHub)"
"Parkside","","Austin","","(512) 474-9898","info@parkside-austin.com","http://www.opentable.com/parkside?scpref=110","Restaurant","Food & Beverage","4.3","10","OpenTable (GitHub)"
"Peche","","Austin","","(512) 494-4011","robpate@mac.com","http://www.opentable.com/rest_profile.aspx?rid=100501&scpref=110","Restaurant","Food & Beverage","4.5","4","OpenTable (GitHub)"
"Perla's Seafood and Oyster Bar","","Austin","","(512) 291-7300","webmail@perlasaustin.com","http://www.opentable.com/perlas-seafood-and-oyster-bar?scpref=110","Restaurant","Food & Beverage","4.4","10","OpenTable (GitHub)"
"Perry's Steakhouse & Grille - Downtown","","Austin","","(512) 474-6300","Austin@PerrysSteakhouse.com","http://www.opentable.com/perrys-steakhouse-and-grille-downtown?scpref=110","Restaurant","Food & Beverage","4.5","10","OpenTable (GitHub)"
"Ranch 616","","Austin","","(512) 479-7616","kwilliamsonranch616@austin.rr.com","http://www.opentable.com/ranch-616?scpref=110","Restaurant","Food & Beverage","4.1","1","OpenTable (GitHub)"
"Restaurant Jezebel","","Austin","","(512) 436-9643","info@restaurantjezebel.com","http://www.opentable.com/rest_profile.aspx?rid=97762&scpref=110","Restaurant","Food & Beverage","4.7","5","OpenTable (GitHub)"
"Riviera Bistro","","Austin","","(512) 263-2960","contact@rivierabistro.com","http://www.opentable.com/riviera-bistro?scpref=110","Restaurant","Food & Beverage","4.3","4","OpenTable (GitHub)"
"Roaring Fork-Downtown, Congress","","Austin","","(512) 583-0000","austin@roaringfork.com","http://www.opentable.com/roaring-fork-downtown-congress?scpref=110","Restaurant","Food & Beverage","4.4","10","OpenTable (GitHub)"
"Roaring Fork-North Austin, Stonelake","","Austin","","(512) 342-2700","marketing@eddiev.com","http://www.opentable.com/roaring-fork-north-austin-stonelake?scpref=110","Restaurant","Food & Beverage","4.3","10","OpenTable (GitHub)"
"The Russian House","","Austin","","(347) 840-0093","russianbistro@gmail.com","http://www.opentable.com/the-russian-house?scpref=110","Restaurant","Food & Beverage","3.9","10","OpenTable (GitHub)"
"Ruth's Chris Steak House - Austin","","Austin","","(512) 477-7884","","http://www.opentable.com/ruths-chris-steak-house-austin?scpref=110","Restaurant","Food & Beverage","4.5","10","OpenTable (GitHub)"
"The Salty Sow","","Austin","","(512) 391-2337","saltysow@saltysow.com","http://www.opentable.com/the-salty-sow?scpref=110","Restaurant","Food & Beverage","4.3","10","OpenTable (GitHub)"
"Santa Catarina Restaurant","","Austin","","(512) 300-0946","santacatarina1@santacatarinarestaurant.com","http://www.opentable.com/santa-catarina-restaurant?scpref=110","Restaurant","Food & Beverage","4.3","0","OpenTable (GitHub)"
"Satellite Bistro and Bar","","Austin","","(512) 288-9994","satellitebistro@austin.rr.com","http://www.opentable.com/satellite-bistro-and-bar?scpref=110","Restaurant","Food & Beverage","4.4","4","OpenTable (GitHub)"
"Siena Ristorante Toscano","","Austin","","(512) 349-7667","events@sienarestaurant.com","http://www.opentable.com/siena-ristorante-toscano?scpref=110","Restaurant","Food & Beverage","4.4","9","OpenTable (GitHub)"
"Soleil at The Oasis","","Austin","","(512) 266-0600","soleil@soleilaustin.com","http://www.opentable.com/soleil-at-the-oasis?scpref=110","Restaurant","Food & Beverage","4.1","10","OpenTable (GitHub)"
"SPIN Modern Thai","","Austin","","(512) 258-1365","spinmodernthai@gmail.com","http://www.opentable.com/spin-modern-thai?scpref=110","Restaurant","Food & Beverage","4.1","9","OpenTable (GitHub)"
"Steiner Ranch Steakhouse","","Austin","","(512) 381-0800","reservations@steinersteakhouse.com","http://www.opentable.com/steiner-ranch-steakhouse?scpref=110","Restaurant","Food & Beverage","4.4","10","OpenTable (GitHub)"
"Stories Fine Dining Establishment at Hyatt Regency Lost Pines","","Austin","","(512) 308-4860","courtney.geiser@hyatt.com","http://www.opentable.com/stories-fine-dining-establishment-at-hyatt-regency-lost-pines?scpref=110","Restaurant","Food & Beverage","4.3","3","OpenTable (GitHub)"
"Sullivan's Steakhouse - Austin","","Austin","","(512) 495-6504","sullivans.austin@dfrg.com","http://www.opentable.com/sullivans-steakhouse-austin?scpref=110","Restaurant","Food & Beverage","4.1","10","OpenTable (GitHub)"
"Sushi Zushi of 5th Street","","Austin","","(512) 474-7000","comments@sushizushi.com","http://www.opentable.com/sushi-zushi-of-5th-street?scpref=110","Restaurant","Food & Beverage","4","0","OpenTable (GitHub)"
"Sushi Zushi of the Domain","","Austin","","(512) 834-8100","comments@sushizushi.com","http://www.opentable.com/sushi-zushi-of-the-domain?scpref=110","Restaurant","Food & Beverage","4.1","7","OpenTable (GitHub)"
"SWB @ the Hyatt Regency Austin","","Austin","","(512) 480-2035","eric.chen@hyatt.com","http://www.opentable.com/swb-at-the-hyatt-regency-austin?scpref=110","Restaurant","Food & Beverage","3.6","5","OpenTable (GitHub)"
"Swift's Attic","","Austin","","(512) 482-8842","info@swiftsattic.com","http://www.opentable.com/swifts-attic?scpref=110","Restaurant","Food & Beverage","4.1","5","OpenTable (GitHub)"
"Texas French Bread","","Austin","","(512) 499-0544","info@texasfrenchbread.com","http://www.opentable.com/texas-french-bread?scpref=110","Restaurant","Food & Beverage","4.4","6","OpenTable (GitHub)"
"Trace - W - Austin","","Austin","","(512) 542-3660","TraceAustin@Whotels.com","http://www.opentable.com/trace-w-austin?scpref=110","Restaurant","Food & Beverage","4.2","10","OpenTable (GitHub)"
"Trattoria Lisina","","Austin","","(512) 894-3111","info@trattorialisina.com","http://www.opentable.com/trattoria-lisina-austin?scpref=110","Restaurant","Food & Beverage","4.5","10","OpenTable (GitHub)"
"TRIO - Four Seasons Austin","","Austin","","(512) 685-8300","trio.aus@fourseasons.com","http://www.opentable.com/trio-four-seasons-austin?scpref=110","Restaurant","Food & Beverage","4.4","10","OpenTable (GitHub)"
"Truluck's Seafood, Steak and Crab House - Austin Arboretum","","Austin","","(512) 794-8300","trulucks-arboretum@trulucks.com","http://www.opentable.com/trulucks-seafood-steak-and-crab-house-austin-arboretum?scpref=110","Restaurant","Food & Beverage","4.6","10","OpenTable (GitHub)"
"Truluck's Seafood, Steak and Crab House - Austin Downtown","","Austin","","(512) 482-9000","trulucks-austin@trulucks.com","http://www.opentable.com/trulucks-seafood-steak-and-crab-house-austin-downtown?scpref=110","Restaurant","Food & Beverage","4.5","10","OpenTable (GitHub)"
"Uchi","","Austin","","(512) 916-4808","info@uchiaustin.com","http://www.opentable.com/uchi?scpref=110","Restaurant","Food & Beverage","4.7","10","OpenTable (GitHub)"
"Uchiko","","Austin","","(512) 916-4808","info@uchiaustin.com","http://www.opentable.com/uchiko?scpref=110","Restaurant","Food & Beverage","4.7","10","OpenTable (GitHub)"
"urban an american grill","","Austin","","(512) 490-1511","mizael.saucedo@westinaustinatthedomain.com","http://www.opentable.com/urban-an-american-grill?scpref=110","Restaurant","Food & Beverage","3.9","8","OpenTable (GitHub)"
"Vince Young Steakhouse","","Austin","","(512) 457-8325","contact@vinceyoungsteakhouse.com","http://www.opentable.com/vince-young-steakhouse?scpref=110","Restaurant","Food & Beverage","4.6","10","OpenTable (GitHub)"
"wink","","Austin","","(512) 482-8868","","http://www.opentable.com/wink?scpref=110","Restaurant","Food & Beverage","4.6","10","OpenTable (GitHub)"
"The Woodland","","Austin","","(512) 441-6800","thewoodland@gmail.com","http://www.opentable.com/the-woodland?scpref=110","Restaurant","Food & Beverage","3.9","5","OpenTable (GitHub)"
"Zax Restaurant & Bar","","Austin","","(512) 481-0100","info@zaxaustin.com","http://www.opentable.com/zax-restaurant-and-bar?scpref=110","Restaurant","Food & Beverage","4.1","8","OpenTable (GitHub)"
"Z'Tejas Arboretum","","Austin","","(512) 346-3506","arboretum@ztejas.com","http://www.opentable.com/ztejas-arboretum?scpref=110","Restaurant","Food & Beverage","4.1","5","OpenTable (GitHub)"
"Z'Tejas Austin 6th St","","Austin","","(512) 478-5355","sixth@ztejas.com","http://www.opentable.com/ztejas-austin-6th-st?scpref=110","Restaurant","Food & Beverage","4.2","9","OpenTable (GitHub)"
"Z'Tejas Avery Ranch","","Austin","","(512) 388-7772","averyranch@ztejas.com","http://www.opentable.com/ztejas-avery-ranch?scpref=110","Restaurant","Food & Beverage","4.3","8","OpenTable (GitHub)"
